feb_Leads_2024,mar_Leads_2024,abr_Leads_24,may_Leads_24,jun_Leads_24,jul_Leads_24,ago_Leads_24,sep_Leads_24,oct_Leads_24,nov_Leads_24,dic_Leads_24,ene_Leads_25,feb_Leads_25,mar_Leads_25,abr_Leads_25,Total ,Total Ajustado,Raking ,Raking ajustado,feb_Ventas_24,mar_Ventas_24,abr_Ventas_24,may_Ventas_24,jun_Ventas_24,jul_Ventas_24,ago_Ventas_24,sep_Ventas_24,oct_Ventas_24,nov_Ventas_24,dic_Ventas_24,ene_Ventas_25,feb_Ventas_25,mar_Ventas_25,abr_Ventas_25,may_Ventas_25,jun_Ventas_25,Leads Prom X Mes,T. Ventas Piso ,Factor   ,Total de Ventas Historicas ,RAKING VENTAS,Dependencia de Piso ,Historico de PDM,Historico de SDC,Conversion PDM,Conversion SDC,Factor  PDM,Factor  SDC,Raking PDM,Raking SDC
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,36,28,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.1,3.0,18,0.67,1.0,5,0.2,0.13,0.33,1.67,0,4
67.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,68.0,0.0,6,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,7,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,2.0,5.0,17.0,5.0,9.0,0.0,9.0,4.0,0.0,0.0,0.0,0,51.0,44.0,10,7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6.0,0.12,16.0,7,0.38,48.0,49,0.33,0.01,3.0,3.06,6,16
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,4.0,4.0,32,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,3.0,2,0.0,0.0,0.0,0.0,0,0
10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.0,0.0,26,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,4.0,3,0.0,0.0,0.0,0.0,0,0
6.0,0.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.0,2.0,20,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0,0.0,3.0,5,0.0,0.0,0.0,0.0,0,0
42.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44.0,0.0,12,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.02,2.0,19,0.5,9.0,4,0.22,0.13,4.5,2.0,14,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,0.0,0,28.0,28.0,15,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,9,3.0,0.11,7.0,13,0.43,35.0,24,0.2,0.02,5.0,3.43,17,17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0,6,22.0,22.0,18,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,2.0,1.0,6,4.0,0.18,8.0,11,0.5,29.0,42,0.28,0.01,3.63,5.25,10,21
37.0,0.0,4.0,1.1,1.1,1.8,0.9,1.1,0.8,6.0,9.0,6.0,1.0,0.0,0,31.1,14.2,1,1,1.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,17,2.3,0.09,28.0,2,0.64,19.4,66,0.24,0.01,4.18,2.36,12,11
0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0,16.0,16.0,23,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.06,0.0,0,0.0,22.0,9,0.0,0.0,0.0,0.0,0,0
